episode,reward,R100,learning_rate
1,-155.25904249390857,-155.25904249390857,0.001
2,-278.80410950959157,-217.03157600175007,0.001
3,-80.58356758851674,-171.5489065306723,0.001
4,-215.8775369348685,-182.63106413172136,0.001
5,-339.32931730994324,-213.97071476736573,0.001
6,-327.861011731571,-232.9524309280666,0.001
7,-228.06053153067893,-232.25358815701125,0.001
8,-340.8446212675321,-245.82746729582632,0.001
9,-219.09010234762852,-242.8566489682488,0.001
10,-70.12100655625726,-225.58308472704965,0.001
11,-372.80827779690236,-238.96719318794533,0.001
12,-199.54422530636376,-235.6819458644802,0.001
13,-295.3125875914961,-240.2689183050199,0.001
14,-228.7620838061642,-239.44700155510162,0.001
15,-334.964164414414,-245.81481241238913,0.001
16,-249.1692564370934,-246.02446516393314,0.001
17,-304.9090579410488,-249.48826473905757,0.001
18,-397.14800648570554,-257.6915837249825,0.001
19,-227.428442742754,-256.098786831181,0.001
20,-218.7188536134642,-254.22979017029516,0.001
21,-173.29386283081942,-250.37569839222488,0.001
22,-394.6335170363674,-256.9328719669586,0.001
23,-503.52137241892063,-267.65411111704395,0.001
24,-456.7343773754665,-275.5324555444782,0.001
25,-469.1077900346088,-283.27546892408344,0.001
26,-419.4478521392819,-288.51286827851413,0.001
27,-324.19201175955465,-289.83431803707117,0.001
28,-854.784620637757,-310.01111455852424,0.001
29,-466.639768742606,-315.41210263383743,0.001
30,-2931.5333492156637,-402.61614418656495,0.001
31,-591.4009471714603,-408.7059765409164,0.001
32,-566.0724715390156,-413.62367950960703,0.001
33,-2011.1062830662702,-462.03224325374833,0.001
34,-720.7168723775586,-469.64061469856625,0.001
35,-622.4214140830811,-474.00578039526675,0.001
36,-2522.481948535836,-530.9078961769492,0.001
37,-37.93661208383128,-517.5843479582163,0.001
38,106.99611147976925,-501.14802007826927,0.001
39,-217.1837866511462,-493.86688588783016,0.001
40,-552.3035088583445,-495.3278014620931,0.001
41,-444.89697673780734,-494.0977813468666,0.001
42,-254.45150602098747,-488.3919176486314,0.001
43,-317.22529331521656,-484.41129847808685,0.001
