episode,reward,R100,learning_rate
1,10.0,10.0,0.05
2,10.0,10.0,0.05
3,10.0,10.0,0.05
4,11.0,10.25,0.05
5,8.0,9.8,0.05
6,11.0,10.0,0.05
7,9.0,9.857142857142858,0.05
8,10.0,9.875,0.05
9,9.0,9.777777777777779,0.05
10,9.0,9.7,0.05
11,14.0,10.090909090909092,0.05
12,9.0,10.0,0.05
13,9.0,9.923076923076923,0.05
14,9.0,9.857142857142858,0.05
15,11.0,9.933333333333334,0.05
16,12.0,10.0625,0.05
17,8.0,9.941176470588236,0.05
18,9.0,9.88888888888889,0.05
19,12.0,10.0,0.05
20,16.0,10.3,0.05
21,12.0,10.380952380952381,0.05
22,9.0,10.318181818181818,0.05
23,13.0,10.434782608695652,0.05
24,10.0,10.416666666666666,0.05
25,10.0,10.4,0.05
26,13.0,10.5,0.05
27,10.0,10.481481481481481,0.05
28,9.0,10.428571428571429,0.05
29,10.0,10.413793103448276,0.05
30,9.0,10.366666666666667,0.05
31,11.0,10.387096774193548,0.05
32,11.0,10.40625,0.05
33,11.0,10.424242424242424,0.05
34,10.0,10.411764705882353,0.05
35,13.0,10.485714285714286,0.05
36,9.0,10.444444444444445,0.05
37,9.0,10.405405405405405,0.05
38,14.0,10.5,0.05
39,10.0,10.487179487179487,0.05
40,11.0,10.5,0.05
41,10.0,10.487804878048781,0.05
42,12.0,10.523809523809524,0.05
43,11.0,10.534883720930232,0.05
44,14.0,10.613636363636363,0.05
45,10.0,10.6,0.05
46,13.0,10.652173913043478,0.05
47,14.0,10.72340425531915,0.05
48,10.0,10.708333333333334,0.05
49,8.0,10.653061224489797,0.05
50,10.0,10.64,0.05
51,10.0,10.627450980392156,0.05
52,11.0,10.634615384615385,0.05
53,11.0,10.641509433962264,0.05
54,12.0,10.666666666666666,0.05
55,9.0,10.636363636363637,0.05
56,9.0,10.607142857142858,0.05
57,10.0,10.596491228070175,0.05
58,9.0,10.568965517241379,0.05
59,10.0,10.559322033898304,0.05
60,9.0,10.533333333333333,0.05
61,9.0,10.508196721311476,0.05
62,12.0,10.53225806451613,0.05
63,12.0,10.555555555555555,0.05
64,11.0,10.5625,0.05
65,11.0,10.569230769230769,0.05
66,11.0,10.575757575757576,0.05
67,12.0,10.597014925373134,0.05
68,8.0,10.558823529411764,0.05
69,10.0,10.55072463768116,0.05
70,15.0,10.614285714285714,0.05
71,9.0,10.591549295774648,0.05
72,9.0,10.569444444444445,0.05
73,11.0,10.575342465753424,0.05
74,9.0,10.554054054054054,0.05
75,9.0,10.533333333333333,0.05
76,13.0,10.56578947368421,0.05
77,9.0,10.545454545454545,0.05
78,11.0,10.551282051282051,0.05
79,11.0,10.556962025316455,0.05
80,9.0,10.5375,0.05
81,11.0,10.54320987654321,0.05
82,9.0,10.524390243902438,0.05
83,10.0,10.518072289156626,0.05
84,16.0,10.583333333333334,0.05
85,14.0,10.623529411764705,0.05
86,9.0,10.604651162790697,0.05
87,9.0,10.586206896551724,0.05
88,10.0,10.579545454545455,0.05
89,13.0,10.606741573033707,0.05
90,12.0,10.622222222222222,0.05
91,11.0,10.626373626373626,0.05
92,10.0,10.619565217391305,0.05
93,13.0,10.64516129032258,0.05
94,14.0,10.680851063829786,0.05
95,11.0,10.68421052631579,0.05
96,10.0,10.677083333333334,0.05
97,9.0,10.65979381443299,0.05
98,9.0,10.642857142857142,0.05
99,11.0,10.646464646464647,0.05
100,14.0,10.68,0.05
101,11.0,10.69,0.05
102,9.0,10.68,0.05
103,9.0,10.67,0.05
104,10.0,10.66,0.05
105,10.0,10.68,0.05
106,15.0,10.72,0.05
107,9.0,10.72,0.05
108,10.0,10.72,0.05
109,10.0,10.73,0.05
110,12.0,10.76,0.05
111,13.0,10.75,0.05
112,11.0,10.77,0.05
113,10.0,10.78,0.05
114,12.0,10.81,0.05
115,10.0,10.8,0.05
116,10.0,10.78,0.05
117,11.0,10.81,0.05
118,10.0,10.82,0.05
119,11.0,10.81,0.05
120,11.0,10.76,0.05
121,9.0,10.73,0.05
122,10.0,10.74,0.05
123,9.0,10.7,0.05
124,11.0,10.71,0.05
125,15.0,10.76,0.05
126,9.0,10.72,0.05
127,9.0,10.71,0.05
128,10.0,10.72,0.05
129,11.0,10.73,0.05
130,13.0,10.77,0.05
131,11.0,10.77,0.05
132,9.0,10.75,0.05
133,9.0,10.73,0.05
134,12.0,10.75,0.05
135,13.0,10.75,0.05
136,10.0,10.76,0.05
137,9.0,10.76,0.05
138,16.0,10.78,0.05
139,9.0,10.77,0.05
140,15.0,10.81,0.05
141,10.0,10.81,0.05
142,9.0,10.78,0.05
143,10.0,10.77,0.05
144,10.0,10.73,0.05
145,10.0,10.73,0.05
146,11.0,10.71,0.05
147,12.0,10.69,0.05
148,8.0,10.67,0.05
149,11.0,10.7,0.05
150,10.0,10.7,0.05
151,10.0,10.7,0.05
152,11.0,10.7,0.05
153,11.0,10.7,0.05
154,11.0,10.69,0.05
155,12.0,10.72,0.05
156,11.0,10.74,0.05
157,9.0,10.73,0.05
158,15.0,10.79,0.05
159,10.0,10.79,0.05
160,11.0,10.81,0.05
161,12.0,10.84,0.05
162,12.0,10.84,0.05
163,10.0,10.82,0.05
164,9.0,10.8,0.05
165,11.0,10.8,0.05
166,11.0,10.8,0.05
167,18.0,10.86,0.05
