episode,reward,R100,learning_rate
1,11.0,11.0,0.001
2,13.0,12.0,0.001
3,11.0,11.666666666666666,0.001
4,11.0,11.5,0.001
5,11.0,11.4,0.001
6,9.0,11.0,0.001
7,12.0,11.142857142857142,0.001
8,10.0,11.0,0.001
9,9.0,10.777777777777779,0.001
10,11.0,10.8,0.001
11,9.0,10.636363636363637,0.001
12,11.0,10.666666666666666,0.001
13,10.0,10.615384615384615,0.001
14,10.0,10.571428571428571,0.001
15,11.0,10.6,0.001
16,10.0,10.5625,0.001
17,9.0,10.470588235294118,0.001
18,9.0,10.38888888888889,0.001
19,10.0,10.368421052631579,0.001
20,9.0,10.3,0.001
21,10.0,10.285714285714286,0.001
22,11.0,10.318181818181818,0.001
23,12.0,10.391304347826088,0.001
24,10.0,10.375,0.001
25,10.0,10.36,0.001
26,13.0,10.461538461538462,0.001
27,18.0,10.74074074074074,0.001
28,12.0,10.785714285714286,0.001
29,17.0,11.0,0.001
30,12.0,11.033333333333333,0.001
31,9.0,10.96774193548387,0.001
32,11.0,10.96875,0.001
33,15.0,11.090909090909092,0.001
34,10.0,11.058823529411764,0.001
35,8.0,10.971428571428572,0.001
36,14.0,11.055555555555555,0.001
37,12.0,11.08108108108108,0.001
38,10.0,11.052631578947368,0.001
39,9.0,11.0,0.001
40,11.0,11.0,0.001
41,9.0,10.951219512195122,0.001
42,14.0,11.023809523809524,0.001
43,10.0,11.0,0.001
44,13.0,11.045454545454545,0.001
45,10.0,11.022222222222222,0.001
46,9.0,10.978260869565217,0.001
47,10.0,10.957446808510639,0.001
48,9.0,10.916666666666666,0.001
49,12.0,10.938775510204081,0.001
50,11.0,10.94,0.001
51,9.0,10.901960784313726,0.001
52,12.0,10.923076923076923,0.001
53,9.0,10.88679245283019,0.001
54,10.0,10.87037037037037,0.001
55,12.0,10.89090909090909,0.001
56,13.0,10.928571428571429,0.001
57,9.0,10.894736842105264,0.001
58,8.0,10.844827586206897,0.001
59,8.0,10.796610169491526,0.001
60,12.0,10.816666666666666,0.001
61,12.0,10.836065573770492,0.001
62,10.0,10.82258064516129,0.001
63,10.0,10.80952380952381,0.001
64,9.0,10.78125,0.001
65,10.0,10.76923076923077,0.001
66,10.0,10.757575757575758,0.001
67,10.0,10.746268656716419,0.001
68,10.0,10.735294117647058,0.001
69,11.0,10.73913043478261,0.001
70,10.0,10.728571428571428,0.001
71,11.0,10.732394366197184,0.001
72,9.0,10.708333333333334,0.001
73,12.0,10.726027397260275,0.001
74,9.0,10.702702702702704,0.001
75,11.0,10.706666666666667,0.001
76,10.0,10.697368421052632,0.001
77,10.0,10.688311688311689,0.001
78,11.0,10.692307692307692,0.001
79,9.0,10.670886075949367,0.001
80,10.0,10.6625,0.001
81,10.0,10.654320987654321,0.001
82,13.0,10.682926829268293,0.001
83,9.0,10.662650602409638,0.001
84,9.0,10.642857142857142,0.001
85,9.0,10.623529411764705,0.001
86,12.0,10.63953488372093,0.001
87,11.0,10.64367816091954,0.001
88,14.0,10.681818181818182,0.001
89,11.0,10.685393258426966,0.001
90,10.0,10.677777777777777,0.001
91,10.0,10.67032967032967,0.001
92,12.0,10.684782608695652,0.001
93,10.0,10.67741935483871,0.001
