episode,reward,R100
289,14.0,14.32
290,13.0,14.35
291,12.0,14.34
292,12.0,14.33
293,14.0,14.31
294,15.0,14.34
295,15.0,14.36
296,14.0,14.37
297,12.0,14.35
298,14.0,14.36
299,14.0,14.34
300,14.0,14.35
301,16.0,14.35
302,12.0,14.31
303,14.0,14.29
304,15.0,14.29
305,13.0,14.3
306,16.0,14.29
307,13.0,14.29
308,14.0,14.24
309,17.0,14.3
310,12.0,14.25
311,15.0,14.27
312,17.0,14.28
313,12.0,14.26
314,15.0,14.28
315,15.0,14.32
316,13.0,14.3
317,13.0,14.31
318,13.0,14.28
319,19.0,14.3
320,14.0,14.31
321,12.0,14.29
322,15.0,14.3
323,15.0,14.31
324,14.0,14.33
325,16.0,14.31
326,15.0,14.34
327,15.0,14.36
328,16.0,14.35
329,14.0,14.34
330,11.0,14.27
331,13.0,14.27
332,15.0,14.29
333,17.0,14.34
334,14.0,14.28
335,18.0,14.31
336,14.0,14.28
337,13.0,14.28
338,16.0,14.3
339,12.0,14.26
340,13.0,14.26
341,16.0,14.26
342,15.0,14.24
343,13.0,14.21
344,18.0,14.25
345,14.0,14.25
346,15.0,14.22
347,11.0,14.15
348,13.0,14.14
349,15.0,14.13
350,15.0,14.14
351,15.0,14.13
352,12.0,14.13
353,11.0,14.1
354,13.0,14.09
355,16.0,14.13
356,13.0,14.14
357,9.0,14.07
358,10.0,14.05
359,13.0,14.03
360,11.0,14.01
361,8.0,13.95
362,9.0,13.9
363,10.0,13.84
364,10.0,13.82
365,10.0,13.74
366,11.0,13.73
367,10.0,13.69
368,11.0,13.67
369,9.0,13.6
370,10.0,13.57
371,11.0,13.5
372,10.0,13.47
373,10.0,13.45
374,10.0,13.44
375,9.0,13.4
376,11.0,13.37
377,24.0,13.44
378,14.0,13.45
379,10.0,13.37
380,11.0,13.32
381,8.0,13.28
382,10.0,13.25
383,9.0,13.18
384,8.0,13.11
385,11.0,13.11
386,10.0,13.09
387,9.0,13.04
388,11.0,13.01
389,16.0,13.03
390,10.0,13.0
391,8.0,12.96
392,10.0,12.94
393,9.0,12.89
394,11.0,12.85
395,9.0,12.79
396,11.0,12.76
397,10.0,12.74
398,14.0,12.74
399,14.0,12.74
400,14.0,12.74
401,14.0,12.72
402,12.0,12.72
403,9.0,12.67
404,16.0,12.68
405,16.0,12.71
406,13.0,12.68
407,22.0,12.77
408,12.0,12.75
409,12.0,12.7
410,13.0,12.71
411,17.0,12.73
412,18.0,12.74
413,15.0,12.77
414,13.0,12.75
415,20.0,12.8
416,15.0,12.82
417,22.0,12.91
418,42.0,13.2
419,37.0,13.38
420,21.0,13.45
421,15.0,13.48
422,21.0,13.54
423,46.0,13.85
424,33.0,14.04
425,33.0,14.21
426,20.0,14.26
427,26.0,14.37
428,17.0,14.38
429,27.0,14.51
430,60.0,15.0
431,110.0,15.97
432,23.0,16.05
433,23.0,16.11
434,18.0,16.15
435,22.0,16.19
436,18.0,16.23
437,22.0,16.32
438,24.0,16.4
439,22.0,16.5
440,25.0,16.62
441,32.0,16.78
442,32.0,16.95
443,24.0,17.06
444,15.0,17.03
445,30.0,17.19
446,21.0,17.25
447,36.0,17.5
448,33.0,17.7
449,22.0,17.77
450,32.0,17.94
451,58.0,18.37
452,37.0,18.62
453,26.0,18.77
454,32.0,18.96
455,19.0,18.99
456,35.0,19.21
457,68.0,19.8
458,30.0,20.0
459,43.0,20.3
460,35.0,20.54
461,32.0,20.78
462,39.0,21.08
463,29.0,21.27
464,47.0,21.64
465,44.0,21.98
466,46.0,22.33
467,47.0,22.7
468,80.0,23.39
469,51.0,23.81
470,49.0,24.2
471,79.0,24.88
472,103.0,25.81
473,85.0,26.56
474,161.0,28.07
475,136.0,29.34
476,138.0,30.61
477,99.0,31.36
478,99.0,32.21
479,150.0,33.61
480,115.0,34.65
481,114.0,35.71
482,111.0,36.72
483,162.0,38.25
484,222.0,40.39
485,89.0,41.17
486,221.0,43.28
487,133.0,44.52
488,139.0,45.8
489,235.0,47.99
