episode,reward,R100
291,10.0,10.9
292,9.0,10.81
293,10.0,10.77
294,11.0,10.77
295,8.0,10.66
296,10.0,10.66
297,9.0,10.65
298,9.0,10.65
299,10.0,10.66
300,13.0,10.69
301,8.0,10.67
302,10.0,10.66
303,12.0,10.68
304,10.0,10.64
305,10.0,10.65
306,10.0,10.65
307,11.0,10.67
308,12.0,10.67
309,13.0,10.69
310,9.0,10.69
311,11.0,10.7
312,8.0,10.65
313,9.0,10.65
314,9.0,10.66
315,10.0,10.67
316,9.0,10.64
317,8.0,10.61
318,8.0,10.57
319,9.0,10.53
320,10.0,10.54
321,9.0,10.47
322,13.0,10.5
323,10.0,10.5
324,11.0,10.51
325,11.0,10.53
326,10.0,10.53
327,12.0,10.51
328,10.0,10.5
329,10.0,10.5
330,11.0,10.48
331,10.0,10.4
332,11.0,10.42
333,10.0,10.4
334,12.0,10.42
335,11.0,10.43
336,13.0,10.44
337,9.0,10.43
338,13.0,10.47
339,9.0,10.46
340,13.0,10.48
341,11.0,10.48
342,13.0,10.53
343,10.0,10.55
344,9.0,10.54
345,13.0,10.57
346,9.0,10.55
347,9.0,10.53
348,8.0,10.48
349,9.0,10.47
350,12.0,10.48
351,10.0,10.48
352,8.0,10.47
353,12.0,10.49
354,11.0,10.51
355,10.0,10.52
356,9.0,10.5
357,12.0,10.53
358,10.0,10.5
359,14.0,10.52
360,10.0,10.51
361,9.0,10.5
362,11.0,10.51
363,10.0,10.49
364,14.0,10.52
365,14.0,10.52
366,10.0,10.53
367,10.0,10.54
368,11.0,10.57
369,11.0,10.59
370,10.0,10.58
371,12.0,10.58
372,8.0,10.55
373,13.0,10.59
374,16.0,10.64
375,9.0,10.63
376,11.0,10.63
377,10.0,10.59
378,11.0,10.58
379,10.0,10.59
380,9.0,10.59
381,15.0,10.56
382,10.0,10.5
383,16.0,10.52
384,10.0,10.52
385,8.0,10.51
386,14.0,10.53
387,12.0,10.54
388,10.0,10.54
389,9.0,10.53
390,11.0,10.56
391,13.0,10.59
392,10.0,10.6
393,9.0,10.59
394,11.0,10.59
395,9.0,10.6
396,10.0,10.6
397,8.0,10.59
398,9.0,10.59
399,9.0,10.58
400,10.0,10.55
401,8.0,10.55
402,10.0,10.55
403,10.0,10.53
404,9.0,10.52
405,10.0,10.52
406,9.0,10.51
407,11.0,10.51
408,11.0,10.5
409,11.0,10.48
410,11.0,10.5
411,12.0,10.51
412,12.0,10.55
413,9.0,10.55
414,10.0,10.56
415,8.0,10.54
416,10.0,10.55
417,10.0,10.57
418,12.0,10.61
419,14.0,10.66
420,11.0,10.67
421,11.0,10.69
422,10.0,10.66
423,18.0,10.74
424,9.0,10.72
425,12.0,10.73
426,10.0,10.73
427,9.0,10.7
428,9.0,10.69
429,13.0,10.72
430,12.0,10.73
431,9.0,10.72
432,11.0,10.72
433,11.0,10.73
434,11.0,10.72
435,13.0,10.74
436,10.0,10.71
437,10.0,10.72
438,12.0,10.71
439,10.0,10.72
440,14.0,10.73
441,10.0,10.72
