episode,reward,R100
287,14.0,13.94
288,15.0,13.96
289,14.0,13.99
290,19.0,14.06
291,14.0,14.09
292,15.0,14.09
293,13.0,14.06
294,15.0,14.08
295,12.0,14.06
296,15.0,14.08
297,11.0,14.04
298,11.0,14.0
299,13.0,13.98
300,15.0,14.01
301,16.0,14.06
302,13.0,14.09
303,12.0,14.04
304,17.0,14.1
305,13.0,14.09
306,12.0,14.07
307,15.0,14.05
308,13.0,14.02
309,11.0,14.01
310,13.0,13.99
311,15.0,14.01
312,16.0,14.03
313,10.0,13.97
314,9.0,13.89
315,15.0,13.92
316,15.0,13.93
317,14.0,13.95
318,14.0,13.98
319,16.0,14.01
320,13.0,13.97
321,16.0,14.0
322,11.0,13.99
323,13.0,13.96
324,14.0,13.97
325,14.0,13.96
326,12.0,13.9
327,18.0,13.95
328,14.0,13.96
329,13.0,13.93
330,16.0,13.95
331,16.0,13.94
332,12.0,13.95
333,17.0,13.98
334,15.0,14.03
335,15.0,14.03
336,15.0,14.04
337,12.0,14.03
338,14.0,14.05
339,13.0,14.04
340,10.0,13.98
341,15.0,13.99
342,14.0,13.97
343,15.0,14.01
344,15.0,14.04
345,12.0,14.0
346,12.0,13.98
347,17.0,14.01
348,16.0,14.04
349,17.0,14.07
350,14.0,14.09
351,16.0,14.13
352,16.0,14.13
353,14.0,14.15
354,12.0,14.15
355,15.0,14.18
356,12.0,14.14
357,15.0,14.12
358,14.0,14.12
359,11.0,14.07
360,16.0,14.11
361,8.0,14.07
362,10.0,14.04
363,10.0,13.99
364,12.0,13.97
365,10.0,13.87
366,10.0,13.83
367,9.0,13.79
368,11.0,13.74
369,9.0,13.62
370,9.0,13.56
371,9.0,13.48
372,9.0,13.45
373,10.0,13.42
374,10.0,13.36
375,10.0,13.3
376,9.0,13.27
377,10.0,13.2
378,10.0,13.12
379,10.0,13.08
380,10.0,13.06
381,10.0,13.05
382,11.0,13.04
383,9.0,13.0
384,10.0,12.95
385,11.0,12.95
386,10.0,12.92
387,8.0,12.86
388,11.0,12.82
389,10.0,12.78
390,11.0,12.7
391,10.0,12.66
392,8.0,12.59
393,10.0,12.56
394,10.0,12.51
395,11.0,12.5
396,8.0,12.43
397,11.0,12.43
398,10.0,12.42
399,8.0,12.37
400,8.0,12.3
401,10.0,12.24
402,11.0,12.22
403,9.0,12.19
404,8.0,12.1
405,10.0,12.07
406,10.0,12.05
407,13.0,12.03
408,11.0,12.01
409,9.0,11.99
410,12.0,11.98
411,10.0,11.93
412,13.0,11.9
413,13.0,11.93
414,15.0,11.99
415,12.0,11.96
416,10.0,11.91
417,12.0,11.89
418,18.0,11.93
419,12.0,11.89
420,16.0,11.92
421,14.0,11.9
422,15.0,11.94
423,15.0,11.96
424,12.0,11.94
425,20.0,12.0
426,23.0,12.11
427,18.0,12.11
428,11.0,12.08
429,13.0,12.08
430,16.0,12.08
431,21.0,12.13
432,14.0,12.15
433,18.0,12.16
434,15.0,12.16
435,23.0,12.24
436,29.0,12.38
437,17.0,12.43
438,23.0,12.52
439,17.0,12.56
440,31.0,12.77
441,35.0,12.97
442,35.0,13.18
443,23.0,13.26
444,31.0,13.42
445,84.0,14.14
446,24.0,14.26
447,36.0,14.45
448,28.0,14.57
449,22.0,14.62
450,23.0,14.71
451,41.0,14.96
452,43.0,15.23
453,49.0,15.58
454,37.0,15.83
455,24.0,15.92
456,46.0,16.26
457,19.0,16.3
458,24.0,16.4
459,36.0,16.65
460,64.0,17.13
461,32.0,17.37
462,48.0,17.75
463,41.0,18.06
464,25.0,18.19
465,32.0,18.41
466,47.0,18.78
467,33.0,19.02
468,46.0,19.37
469,51.0,19.79
470,47.0,20.17
471,57.0,20.65
472,43.0,20.99
473,33.0,21.22
474,35.0,21.47
475,47.0,21.84
476,43.0,22.18
477,59.0,22.67
478,29.0,22.86
479,59.0,23.35
480,43.0,23.68
481,51.0,24.09
482,48.0,24.46
483,34.0,24.71
484,25.0,24.86
485,45.0,25.2
486,29.0,25.39
487,49.0,25.8
488,40.0,26.09
489,50.0,26.49
490,47.0,26.85
491,55.0,27.3
492,75.0,27.97
493,75.0,28.62
494,103.0,29.55
495,54.0,29.98
496,64.0,30.54
497,85.0,31.28
498,90.0,32.08
499,60.0,32.6
500,119.0,33.71
501,66.0,34.27
502,76.0,34.92
503,101.0,35.84
504,87.0,36.63
505,90.0,37.43
506,102.0,38.35
507,71.0,38.93
508,76.0,39.58
509,73.0,40.22
510,66.0,40.76
511,132.0,41.98
512,90.0,42.75
513,93.0,43.55
514,132.0,44.72
515,99.0,45.59
516,114.0,46.63
517,70.0,47.21
518,115.0,48.18
519,102.0,49.08
520,131.0,50.23
521,119.0,51.28
522,89.0,52.02
523,183.0,53.7
524,81.0,54.39
525,105.0,55.24
526,146.0,56.47
527,368.0,59.97
528,123.0,61.09
529,160.0,62.56
530,112.0,63.52
531,195.0,65.26
532,141.0,66.53
533,142.0,67.77
534,180.0,69.42
535,166.0,70.85
536,178.0,72.34
537,152.0,73.69
538,300.0,76.46
539,190.0,78.19
540,177.0,79.65
541,190.0,81.2
542,166.0,82.51
543,255.0,84.83
544,226.0,86.78
545,190.0,87.84
546,212.0,89.72
547,176.0,91.12
548,206.0,92.9
549,234.0,95.02
550,245.0,97.24
551,252.0,99.35
552,241.0,101.33
553,238.0,103.22
554,280.0,105.65
555,262.0,108.03
556,268.0,110.25
557,277.0,112.83
558,342.0,116.01
559,273.0,118.38
560,285.0,120.59
561,322.0,123.49
562,311.0,126.12
563,309.0,128.8
564,320.0,131.75
565,369.0,135.12
566,299.0,137.64
567,230.0,139.61
568,263.0,141.78
569,299.0,144.26
570,338.0,147.17
571,270.0,149.3
572,352.0,152.39
573,303.0,155.09
574,315.0,157.89
575,364.0,161.06
576,317.0,163.8
577,293.0,166.14
578,272.0,168.57
579,333.0,171.31
580,312.0,174.0
581,335.0,176.84
582,320.0,179.56
583,323.0,182.45
584,298.0,185.18
585,275.0,187.48
586,283.0,190.02
587,358.0,193.11
588,265.0,195.36
589,315.0,198.01
590,276.0,200.3
591,258.0,202.33
592,319.0,204.77
593,322.0,207.24
594,260.0,208.81
595,263.0,210.9
596,291.0,213.17
597,340.0,215.72
598,326.0,218.08
599,290.0,220.38
600,290.0,222.09
601,295.0,224.38
602,266.0,226.28
603,232.0,227.59
604,282.0,229.54
605,259.0,231.23
606,244.0,232.65
607,269.0,234.63
608,285.0,236.72
609,265.0,238.64
610,274.0,240.72
611,255.0,241.95
612,240.0,243.45
613,226.0,244.78
614,240.0,245.86
615,268.0,247.55
616,252.0,248.93
617,273.0,250.96
618,240.0,252.21
619,213.0,253.32
620,257.0,254.58
621,248.0,255.87
622,246.0,257.44
623,224.0,257.85
624,224.0,259.28
625,226.0,260.49
626,238.0,261.41
627,223.0,259.96
628,219.0,260.92
629,230.0,261.62
630,230.0,262.8
631,212.0,262.97
632,267.0,264.23
633,228.0,265.09
634,215.0,265.44
635,230.0,266.08
636,242.0,266.72
637,205.0,267.25
638,222.0,266.47
639,243.0,267.0
640,224.0,267.47
641,260.0,268.17
642,211.0,268.62
643,246.0,268.53
644,220.0,268.47
645,216.0,268.73
646,229.0,268.9
647,230.0,269.44
648,206.0,269.44
649,242.0,269.52
650,218.0,269.25
651,219.0,268.92
652,217.0,268.68
653,209.0,268.39
654,227.0,267.86
655,253.0,267.77
656,217.0,267.26
657,198.0,266.47
658,192.0,264.97
659,201.0,264.25
660,218.0,263.58
661,215.0,262.51
662,231.0,261.71
663,231.0,260.93
664,213.0,259.86
665,214.0,258.31
666,204.0,257.36
667,203.0,257.09
668,190.0,256.36
669,197.0,255.34
670,213.0,254.09
671,195.0,253.34
672,187.0,251.69
673,183.0,250.49
674,230.0,249.64
675,218.0,248.18
676,209.0,247.1
677,202.0,246.19
678,183.0,245.3
679,190.0,243.87
680,199.0,242.74
681,174.0,241.13
682,181.0,239.74
683,186.0,238.37
684,201.0,237.4
685,195.0,236.6
686,189.0,235.66
687,187.0,233.95
688,197.0,233.27
689,188.0,232.0
690,218.0,231.42
691,204.0,230.88
692,191.0,229.6
693,189.0,228.27
694,202.0,227.69
695,176.0,226.82
696,201.0,225.92
697,206.0,224.58
698,183.0,223.15
699,189.0,222.14
700,204.0,221.28
701,197.0,220.3
702,189.0,219.53
703,198.0,219.19
704,202.0,218.39
705,205.0,217.85
706,199.0,217.4
707,191.0,216.62
708,206.0,215.83
709,200.0,215.18
710,220.0,214.64
711,206.0,214.15
712,198.0,213.73
713,204.0,213.51
714,214.0,213.25
715,191.0,212.48
716,183.0,211.79
717,187.0,210.93
718,193.0,210.46
719,198.0,210.31
720,193.0,209.67
721,217.0,209.36
722,197.0,208.87
723,196.0,208.59
724,205.0,208.4
725,199.0,208.13
726,227.0,208.02
727,197.0,207.76
728,195.0,207.52
729,194.0,207.16
730,187.0,206.73
731,197.0,206.58
732,202.0,205.93
733,188.0,205.53
734,202.0,205.4
735,207.0,205.17
736,204.0,204.79
737,202.0,204.76
738,188.0,204.42
739,196.0,203.95
740,185.0,203.56
741,197.0,202.93
742,179.0,202.61
743,189.0,202.04
744,188.0,201.72
745,175.0,201.31
746,190.0,200.92
747,188.0,200.5
748,211.0,200.55
749,200.0,200.13
750,191.0,199.86
751,184.0,199.51
752,194.0,199.28
753,186.0,199.05
754,189.0,198.67
755,185.0,197.99
756,183.0,197.65
757,182.0,197.49
758,173.0,197.3
759,201.0,197.3
