episode,reward,R100,learning_rate
1,-242.9318592892704,-242.9318592892704,0.005
2,-104.75510609956237,-173.84348269441637,0.005
3,-420.41385926974016,-256.0336082195243,0.005
4,-69.10858575871443,-209.30235260432184,0.005
5,-116.23224020990536,-190.68833012543854,0.005
6,-111.64197278401186,-177.51393723520076,0.005
7,-57.46850911389892,-160.36459036072907,0.005
8,-363.52880742730423,-185.76011749405097,0.005
9,-149.38015080871182,-181.71789897345772,0.005
10,-171.6627317755482,-180.7123822536668,0.005
11,-69.35037849562703,-170.58856373020862,0.005
12,-345.1550435040481,-185.13577037802858,0.005
13,-291.7971971736541,-193.34049551615362,0.005
14,-311.5327586005868,-201.78280002218455,0.005
15,-55.26323724805742,-192.01482917057606,0.005
16,-130.67075041190668,-188.18082424815924,0.005
17,-316.4237944904845,-195.72452838006072,0.005
18,-503.1088012032389,-212.80143242579285,0.005
19,-173.8424275769592,-210.75095848638054,0.005
20,-392.27974427893463,-219.82739777600827,0.005
21,-210.8510128226065,-219.39995087346531,0.005
22,-260.98771698632663,-221.29030387859538,0.005
23,-179.74963789876992,-219.48418796642906,0.005
24,-279.66938430578347,-221.99190448056882,0.005
25,-213.69511205710137,-221.66003278363013,0.005
26,-317.1679173620963,-225.33341295972497,0.005
27,-122.20045578641245,-221.51367380515785,0.005
28,-210.7217826031619,-221.12824911937227,0.005
29,-332.1373661904052,-224.9561497080286,0.005
30,-188.19507912166858,-223.73078068848326,0.005
31,-591.4672810793331,-235.5932484430268,0.005
32,-397.2652663601145,-240.6454990029358,0.005
33,-330.20038802304043,-243.35928351869654,0.005
34,-546.3843005739075,-252.2717840203204,0.005
35,-352.45338467850286,-255.13411546769703,0.005
36,-433.05174125967807,-260.0762717396965,0.005
37,-146.05408157087885,-256.99459092432306,0.005
38,-442.42123149350334,-261.8742393603541,0.005
39,-506.7269143294718,-268.152513077511,0.005
40,-285.4307549401153,-268.58446912407607,0.005
41,-202.9711344337055,-266.9841438877256,0.005
42,-295.0303654370752,-267.651911067472,0.005
43,-340.69246226980806,-269.35052853729377,0.005
44,-151.38669089558942,-266.66953222725505,0.005
45,-297.09322125019725,-267.34561420554263,0.005
46,-304.24139440027375,-268.147696383689,0.005
47,-251.6103276364024,-267.79583747417223,0.005
48,-73.1094053615372,-263.73987013849234,0.005
49,-397.93003255626496,-266.47844488171216,0.005
50,-112.49328173782517,-263.39874161883444,0.005
51,-215.98810822654332,-262.4691213562405,0.005
52,-348.705239394517,-264.12750824159195,0.005
53,-164.19848082726514,-262.24205489415186,0.005
54,-65.30238179172414,-258.59502391077353,0.005
55,-199.15592433458187,-257.5143130093882,0.005
56,-150.95052246713493,-255.6113881782766,0.005
57,-397.04924040221056,-258.09275400676665,0.005
58,-218.41280265757234,-257.40861691453915,0.005
59,-149.3207864544819,-255.5766197880975,0.005
60,-227.96942215353485,-255.1164998275215,0.005
61,-109.53464267761443,-252.72991200539184,0.005
62,-60.82795022149743,-249.63471907339354,0.005
63,-214.53350242840085,-249.07755690442542,0.005
64,-279.11614250275693,-249.54690980439935,0.005
65,-142.69963933682533,-247.90310564335974,0.005
66,-114.71728094862871,-245.88513860253047,0.005
67,-342.49631927488116,-247.32709652301335,0.005
68,-225.25644617308058,-247.00252813551432,0.005
69,-94.73136893579726,-244.79569974131553,0.005
70,-471.33796836063345,-248.03201786444865,0.005
71,-169.09035965138213,-246.92016352341952,0.005
72,-292.15274271546656,-247.5483937899757,0.005
73,-127.50515619840976,-245.9039658777625,0.005
74,-207.7530277308415,-245.38841265956088,0.005
75,-402.06420355981345,-247.4774232048976,0.005
76,-95.53665049254738,-245.47820251131398,0.005
77,-172.13871183000563,-244.52574159337496,0.005
78,-54.858798872439586,-242.09411412259374,0.005
79,-100.64836597044291,-240.30366161433867,0.005
80,-44.78371675360998,-237.85966230357954,0.005
81,-114.75843324716847,-236.33989404362387,0.005
82,-164.997681737154,-235.46986706427666,0.005
83,-107.76036659115373,-233.9311983838776,0.005
84,-94.89713746771575,-232.27603099201852,0.005
85,-297.0079783287999,-233.0375833136277,0.005
86,-149.53504598192484,-232.06662357721257,0.005
87,-112.7706776041222,-230.6954058074069,0.005
88,-124.89387842960039,-229.4931157235682,0.005
89,-153.05548916971549,-228.63426598700806,0.005
90,-106.49301206407493,-227.27714094341994,0.005
91,-156.42100507279463,-226.49850208769874,0.005
92,-102.7985923775611,-225.153937851719,0.005
93,-109.4584199407863,-223.90990002471975,0.005
94,-121.12481900351288,-222.81644171598347,0.005
95,-95.78310809675068,-221.4792487305179,0.005
96,-141.17893004459964,-220.64278707753957,0.005
97,-64.18333501697037,-219.02980303567801,0.005
98,-109.68201565447525,-217.91400928689023,0.005
99,-106.92407228147445,-216.79289881208805,0.005
100,-86.22117452937975,-215.48718156926097,0.005
101,-123.7054449416123,-214.2949174257844,0.005
102,-60.559378274590244,-213.85296014753467,0.005
103,-42.184653464118995,-210.07066808947846,0.005
104,-43.08356878418342,-209.81041791973314,0.005
105,-57.066532296465155,-209.21876084059878,0.005
106,-76.62249273647357,-208.8685660401234,0.005
107,-23.05090389965276,-208.5243899879809,0.005
108,-61.11774261878469,-205.5002793398957,0.005
109,-76.05831126127778,-204.76706094442136,0.005
110,-169.86886567821946,-204.7491222834481,0.005
111,-97.13585749535693,-205.02697707344538,0.005
112,-167.75795222206537,-203.25300616062555,0.005
113,-120.77831406470932,-201.5428173295361,0.005
114,-265.18829189974855,-201.07937266252776,0.005
115,-137.33913288508452,-201.900131618898,0.005
116,-132.98928624217828,-201.9233169772007,0.005
117,-16.537323734341257,-198.92445226963926,0.005
118,-6.422540868491041,-193.9575896662918,0.005
119,-29.478430907062798,-192.51394969959284,0.005
120,-341.06362569551334,-192.00178851375867,0.005
121,-12.586880385360942,-190.01914718938616,0.005
122,-188.19875581005664,-189.29125757762347,0.005
123,-171.12334377723158,-189.2049946364081,0.005
124,-247.97130286010508,-188.88801382195132,0.005
125,-116.86387631116462,-187.9197014644919,0.005
126,-161.5437468371171,-186.36345975924215,0.005
127,-89.53478027575746,-186.0368030041356,0.005
128,-181.2094151491282,-185.74167932959526,0.005
129,-291.0522932930853,-185.33082860062208,0.005
130,-162.0766108495016,-185.0696439179004,0.005
131,-111.65120166409363,-180.271483123748,0.005
132,-99.34227693340331,-177.29225322948088,0.005
133,-441.3922195285651,-178.4041715445361,0.005
134,-381.94492318449306,-176.75977777064196,0.005
135,-208.45976547150542,-175.319841578572,0.005
136,113.94250420373852,-169.84989912393783,0.005
137,-283.70514271956836,-171.22640973542474,0.005
138,-123.87445764536282,-168.04094199694333,0.005
139,-246.55658948342153,-165.4392387484828,0.005
140,-162.82496365781788,-164.21318083565987,0.005
141,-174.82040134851047,-163.93167350480792,0.005
142,-233.8977682507704,-163.32034753294485,0.005
143,-28.76180968872289,-160.201041007134,0.005
144,-18.337126615384207,-158.87054536433195,0.005
145,28.959412651001685,-155.61001902531996,0.005
146,7.153914373734281,-152.49606593757989,0.005
147,-8.991456289825678,-150.06987722411412,0.005
148,-58.01850902138429,-149.9189682607126,0.005
149,-190.39450933649567,-147.8436130285149,0.005
150,-244.71522886643024,-149.16583249980096,0.005
151,83.85229176082458,-146.16742849992727,0.005
152,-108.8158150883896,-143.768534256866,0.005
153,-44.799033246779686,-142.57453978106113,0.005
154,-233.35575141045038,-144.2550734772484,0.005
155,-80.62267987427659,-143.06974103264537,0.005
156,-316.95280887405,-144.7297638967145,0.005
157,197.45038168492232,-138.78476767584317,0.005
158,-6.126110877724216,-136.66190075804468,0.005
159,-125.82916414787725,-136.42698453497863,0.005
160,-28.681620203735918,-134.43410651548066,0.005
161,-87.46199732864672,-134.21338006199096,0.005
162,-274.9361324210814,-136.35446188398683,0.005
163,-101.27867687269769,-135.22191362842977,0.005
164,-101.40618981047719,-133.44481410150698,0.005
165,-57.791760770901114,-132.59573531584775,0.005
166,-2.6756248273883045,-131.47531875463534,0.005
167,-39.764627513752295,-128.44800183702404,0.005
168,-300.6308462653543,-129.2017458379468,0.005
169,-92.77485966859106,-129.18218074527474,0.005
170,-226.9681719110685,-126.73848278077908,0.005
171,-75.26393528272266,-125.80021853709249,0.005
172,152.39189662132935,-121.35477214372453,0.005
173,-223.85029956591075,-122.31822357739955,0.005
174,-30.029025358468402,-120.54098355367582,0.005
175,-88.26004232740175,-117.40294194135168,0.005
176,-46.420144706476634,-116.91177688349099,0.005
177,-64.29791778520641,-115.83336894304298,0.005
178,-40.332032828103436,-115.68810128259962,0.005
179,-33.802302910377605,-115.01964065199896,0.005
180,-89.21775314272364,-115.46398101589011,0.005
181,-262.9773881670224,-116.94617056508865,0.005
182,-327.645949717514,-118.57265324489227,0.005
183,176.25604749478822,-115.73248910403282,0.005
184,-47.84171847439749,-115.26193491409964,0.005
185,-24.13362284713783,-112.53319135928302,0.005
186,-84.67497062938547,-111.88459060575764,0.005
187,-562.8100217988175,-116.38498404770458,0.005
188,-165.16001898954093,-116.78764545330398,0.005
189,-134.16972330135516,-116.59878779462038,0.005
190,-112.95144313311025,-116.66337210531074,0.005
191,-27.413225921821933,-115.37329431380101,0.005
192,-385.6222540688717,-118.20153093071411,0.005
193,-80.16366898627805,-117.90858342116904,0.005
194,-52.3187869119634,-117.22052310025354,0.005
195,-28.194033745524692,-116.54463235674127,0.005
196,-124.60758607111453,-116.37891891700643,0.005
197,-86.39874006707058,-116.60107296750745,0.005
198,-107.30917248956251,-116.5773445358583,0.005
199,-114.5497503424642,-116.6536013164682,0.005
200,185.67129690823992,-113.934676602092,0.005
201,-169.92823118879608,-114.39690446456383,0.005
202,-75.89893392186242,-114.55030002103656,0.005
203,115.36195796012528,-112.97483390679412,0.005
204,-99.82319714287033,-113.54223019038098,0.005
205,-22.29538635066143,-113.19451873092295,0.005
206,-24.136007381097883,-112.6696538773692,0.005
207,-36.64403645701407,-112.80558520294281,0.005
208,-214.3443232619091,-114.33785100937406,0.005
209,-231.0367990447213,-115.88763588720849,0.005
210,-147.13448656105504,-115.66029209603684,0.005
211,-185.40188968601,-116.54295241794338,0.005
212,198.68389218232602,-112.87853397389947,0.005
213,138.348506742563,-110.28726576582675,0.005
214,-46.72113595300438,-108.1025942063593,0.005
215,-129.00130583778446,-108.0192159358863,0.005
216,-147.69056094174715,-108.166228682882,0.005
217,161.38492232337885,-106.38700622230479,0.005
218,-101.25837300783087,-107.33536454369818,0.005
219,-41.43586414994331,-107.454938876127,0.005
220,-74.17639576924623,-104.78606657686433,0.005
221,-108.84996973197477,-105.74869747033046,0.005
222,194.15186165351284,-101.92519129569475,0.005
223,-295.89902342565705,-103.17294809217901,0.005
224,259.6369234965398,-98.09686582861255,0.005
225,-67.9025032787562,-97.60725209828848,0.005
226,-192.61260000867694,-97.91794063000408,0.005
227,-234.5150061581718,-99.36774288882823,0.005
228,-87.01532780593399,-98.42580201539627,0.005
229,266.7574191614972,-92.84770489085045,0.005
230,197.60266127308813,-89.25091216962456,0.005
231,-123.02900856114772,-89.3646902385951,0.005
