episode,reward,R100,learning_rate
1,-96.0193983739179,-96.0193983739179,0.001
2,-136.04173436621969,-116.03056637006878,0.001
3,17.612814288183884,-71.4827728173179,0.001
4,-65.0844596193368,-69.88319451782263,0.001
5,-367.3175605919011,-129.37006773263835,0.001
6,-175.52189195385162,-137.06203843617388,0.001
7,-267.1954719377921,-155.65252893640505,0.001
8,-71.84898130026987,-145.17708548188816,0.001
9,-181.82153273887042,-149.24869073266396,0.001
10,-310.430381769409,-165.36685983633848,0.001
11,-127.95368761122228,-161.9656623613279,0.001
12,-214.2760853171957,-166.3248642743169,0.001
13,-91.05888723873099,-160.53517373311797,0.001
14,-128.584356535444,-158.2529725047127,0.001
15,-123.50195168105338,-155.9362377831354,0.001
16,-207.2874321336448,-159.14568743004224,0.001
17,-58.44906017713216,-153.2223564151652,0.001
18,-205.25324086849653,-156.11296110701693,0.001
19,-50.82412854913876,-150.5714436039707,0.001
20,-195.79542623413533,-152.83264273547894,0.001
21,-430.13022401800595,-166.03728946321831,0.001
22,-664.4368931616712,-188.69181690405705,0.001
23,-540.7687498359253,-203.99950964022526,0.001
24,-668.1544974502135,-223.3393007989748,0.001
25,-185.23152666765887,-221.81498983372214,0.001
26,-225.33197428390383,-221.95025846642145,0.001
27,-422.82937976517627,-229.39022592193086,0.001
28,-412.7822084931031,-235.939939585187,0.001
29,-1137.662629869429,-267.03382545705745,0.001
30,-519.8838811719097,-275.4621606475525,0.001
31,-586.4100263461407,-285.4927369604102,0.001
32,-421.253259517474,-289.73525329031844,0.001
33,-310.516609041306,-290.3649913433787,0.001
34,-426.8302949794923,-294.37867674444084,0.001
35,-101.4512329820782,-288.8664640655162,0.001
36,-96.47953772663027,-283.5223827783249,0.001
37,-348.8428491766201,-285.28780078908966,0.001
38,-243.85441050115907,-284.1974484130915,0.001
39,-434.1857980215958,-288.04330353125823,0.001
40,-249.32841645287752,-287.07543135429876,0.001
41,-178.43282856769292,-284.4256117741376,0.001
42,-257.2628942846039,-283.7788804053392,0.001
43,-141.07349361468258,-280.4601504799751,0.001
44,-331.75778029316973,-281.62600570300225,0.001
45,-472.9725805920162,-285.878151811647,0.001
46,-351.4610187165793,-287.3038663095803,0.001
47,-202.06959093023363,-285.49037108874313,0.001
48,-272.51613921007936,-285.220074591271,0.001
49,-369.2850661654038,-286.9356866642124,0.001
50,-271.62967479970627,-286.62956642692234,0.001
51,-484.7764214831657,-290.5147988790055,0.001
52,-268.8132609370036,-290.0974616108901,0.001
53,-663.851537295865,-297.14942530305945,0.001
54,-229.48809431701122,-295.8964376922067,0.001
55,-206.65245891975462,-294.2738198963439,0.001
56,-392.23633227474744,-296.02315047452976,0.001
57,-102.52888510624047,-292.62851423999837,0.001
58,-374.12337635831,-294.03359806962436,0.001
59,-130.82885965914355,-291.2674160626671,0.001
60,-161.6161200429778,-289.1065611290056,0.001
61,-87.69849683592655,-285.8047895832174,0.001
62,-190.175663268582,-284.2623843200781,0.001
63,-166.11349563244266,-282.38700513456007,0.001
64,-79.46913031235677,-279.2164133404632,0.001
65,-408.97811622285957,-281.2127472309616,0.001
66,-192.27101026151584,-279.86514515566694,0.001
67,-143.4689098718041,-277.8293804499377,0.001
68,-164.09605794521838,-276.15683158957415,0.001
69,-140.22894207075962,-274.186862176258,0.001
70,-287.1145556527757,-274.37154351163684,0.001
71,-136.24168243596762,-272.4260525105711,0.001
72,-41.43487658887548,-269.21784173388085,0.001
73,-117.49634838997879,-267.1394651127315,0.001
74,-113.97881066166651,-265.0697265390684,0.001
75,-132.19397446953198,-263.29804984480796,0.001
76,-101.58148469016486,-261.1702003032995,0.001
77,-59.68964332223841,-258.55356969315585,0.001
78,-95.18378479883683,-256.4590852714338,0.001
79,-68.84834978906505,-254.08426583494813,0.001
80,-70.7124717379858,-251.79211840873614,0.001
81,-83.30658802756113,-249.71205013242533,0.001
82,-54.70420429023485,-247.33390567093517,0.001
83,-73.13898672218274,-245.2351717076972,0.001
84,-25.57925925407322,-242.6202203689636,0.001
85,-68.45871364030275,-240.57126146627348,0.001
86,-83.92225545910752,-238.74976139642268,0.001
87,-52.91393960503473,-236.61371746778605,0.001
88,-221.5731934906523,-236.4428024225913,0.001
89,-178.22134077008846,-235.78862869615875,0.001
90,-191.18809737429936,-235.29306723702697,0.001
91,-101.62064212468562,-233.8241394885397,0.001
92,-526.8413319310755,-237.00910897161074,0.001
93,-130.65927090866234,-235.86556232577257,0.001
94,-85.89024997157082,-234.27008027945126,0.001
95,-259.67717832258427,-234.5375234167474,0.001
96,-146.33892646058402,-233.61878803178737,0.001
97,-130.75965779663122,-232.55838462730122,0.001
98,-302.601045779131,-233.27310565946277,0.001
99,-210.72918834979038,-233.04538932300142,0.001
100,-7.5419178179135855,-230.79035460795055,0.001
101,-78.67721948366699,-230.616932819048,0.001
102,-94.27476515739063,-230.19926312695975,0.001
103,-65.06957574995032,-231.02608702734108,0.001
104,-125.85042386403143,-231.63374666978805,0.001
105,-45.93929058909204,-228.41996396975992,0.001
106,-166.55435908306177,-228.33028864105208,0.001
107,31.117519206715997,-225.34715872960697,0.001
108,-29.027603837094542,-224.9189449549752,0.001
109,-49.13954240494299,-223.59212505163595,0.001
110,-62.706896362386345,-221.11489019756573,0.001
111,6.094402153249853,-219.774409299921,0.001
112,-55.53990941923155,-218.18704754094134,0.001
113,-71.79688599517172,-217.99442752850575,0.001
114,-72.9229037431275,-217.43781300058262,0.001
115,-181.84734719162896,-218.02126695568836,0.001
116,-180.3442398831355,-217.75183503318328,0.001
117,-9.374304854825425,-217.2610874799602,0.001
118,-123.43595222701508,-216.44291459354537,0.001
119,-52.60840729843284,-216.46075738103832,0.001
120,-14.757079026966222,-214.65037390896666,0.001
121,-62.436014455326074,-210.9734318133398,0.001
122,-85.69722441934493,-205.18603512591656,0.001
123,-97.04221022319412,-200.74876972978925,0.001
